name    center_x center_y center_z rin(z-in) rin(z-out)  dout   length   angle      B      gradient
##             [m]      [m]      [m]      [m]        [m]      [m]      [m]   [rad]     [T]      [T/m]
DB BC1LE      -452.1678     0    14.777356   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC2LE      -452.0193     0    18.14357    0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC3LE      -451.7934     0    23.263736   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC4LE      -451.6559     0    26.381545   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
#QF QLY2LE.1   -451.274131	  0    35.036605   0.1        0.1        0.6     0.57004	0.04408      0                 12
#DB BLY1LE.1   -451.208722	  0    36.519491   0.1        0.1        0.6     3.9613     -0.04408      0.15264            0
#QF QLY3LE	   -451.072106	  0    41.393104   0.1	      0.1        0.6     0.57004    0.01704      0                 12
#DB BLY1LE.2	  -451.046815	  0    42.877216   0.1	      0.1        0.6     3.9613     -0.01704      0.15264            0
#QF QLY2LE.2  -451.042022	  0    47.752741   0.1	      0.1        0.6     0.57004   -0.0100       0                 12

name            x            y            z            rot          xysize         zsize
##             [m]          [m]          [m]          [rad]          [mm]          [mm]
CAL cal.1     -451.0263703   0          31.450518     0.0009830      250            500
DET det.1     -451.0444185   0          45.3149785     0.00098307     500            1
DET det.2     -451.432311    0          31.450518     0.0440807559     500            1
